Week,Display,EndCap,PriceChange,TV,Facebook,Twitter,Amazon,Audio,Print,Digital_AO,sales
1/13/19,31.16,58.57,1,9308359,349037,538068,0,0,1222932,10412,379238.3
1/20/19,28.06,54.14,1,0,0,0,0,0,0,0,344677.3
1/27/19,28.10,54.02,1,0,0,0,0,0,0,0,347225.9
2/3/19,30.26,55.05,1,21067222,0,281550,0,0,0,136996,401672.6
2/10/19,29.90,53.94,1,0,17522322,387075,4234667,0,0,164235,403229.1
2/17/19,27.33,50.94,1,20672369,22636584,199040,3639196,0,0,153684,444130.4
2/24/19,31.32,56.39,1,0,0,0,0,0,0,0,385055.5
3/3/19,26.73,51.49,1,0,0,0,0,0,0,0,370809.9
3/10/19,28.74,55.26,1,41623195,12298784,658842,10435041,874017,24758479,0,490346.6
3/17/19,28.75,54.93,1,0,7227108,1373293,1290541,0,2074805,0,399192.8
3/24/19,26.33,51.90,1,0,11045781,0,0,0,0,0,378273.1
3/31/19,32.01,56.50,1,0,0,0,0,0,0,0,376735.7
4/7/19,28.60,56.79,1,6340104,0,0,0,0,651345,13218,369591
4/14/19,31.13,58.32,1,8924057,0,0,0,0,752824,5042,362470.4
4/21/19,30.97,58.55,1,0,0,0,0,0,0,4510,358966.1
4/28/19,27.30,53.55,1,0,0,0,0,0,0,5824,362529.8
5/5/19,29.10,55.74,1,0,0,0,0,0,0,1079,347550.5
5/12/19,27.74,56.59,1,18148032,0,379414,0,0,0,201494,376734.6
5/19/19,32.03,57.48,1,15571011,0,371512,0,0,0,186441,395468
5/26/19,31.58,54.85,1,19967187,0,299620,0,0,0,173990,418073.9
6/2/19,29.15,55.94,1,26593280,0,251966,0,0,0,109722,425675.1
6/9/19,30.02,55.57,1,0,0,0,0,0,0,0,367310.2
6/16/19,32.22,55.78,1,0,0,0,0,0,0,0,360770.3
6/23/19,28.76,55.98,1,0,12402377,0,0,0,2775596,0,381159.4
6/30/19,29.73,58.19,1,0,0,0,0,0,0,0,351036
7/7/19,27.78,53.82,1,0,11330556,0,5423655,0,0,2627005,363719.4
7/14/19,29.37,55.79,1,22849441,1775442,879983,376445,1067767,2973354,0,409006.9
7/21/19,27.88,54.71,1,24450657,15988719,0,2401971,0,3129656,0,462481.3
7/28/19,29.91,56.25,1,0,0,0,0,0,0,0,388471.9
8/4/19,31.20,57.56,1,15186432,0,73802,0,0,0,0,376606
8/11/19,31.60,54.10,1,40522643,0,1092942,1400496,0,0,0,457153.2
8/18/19,27.26,53.52,1,32678370,0,837947,0,0,0,0,462289.9
8/25/19,25.46,52.46,1,0,8846481,1082164,1068278,0,3789321,0,402379.5
9/1/19,29.87,55.40,1,0,0,0,1622533,0,0,0,352743.3
9/8/19,29.29,54.53,1,0,0,0,0,0,0,0,353868.7
9/15/19,28.11,52.98,1,40895045,9699552,791706,6390826,1041965,14061669,0,475006.9
9/22/19,28.52,53.29,1,0,8189831,699394,1254071,0,0,0,407476.5
9/29/19,31.51,53.76,1,0,0,131028,0,0,0,116116,345999.4
10/6/19,27.45,54.00,1,0,0,0,299885,0,0,0,352412.2
10/13/19,26.46,52.90,1,0,0,0,0,0,0,0,355926.3
10/20/19,29.43,57.79,1,21600651,0,190354,0,0,0,152207,395565
10/27/19,31.02,53.73,1,29817657,5109345,0,0,0,2975957,0,428081.6
